ligand_name,name_cleaned,cid,inchikey,smiles
phthalocyanine,phthalocyanine,136077039,IEQIEDJGQAUEQZ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=NC2=NC4=C5C=CC=CC5=C(N4)N=C6C7=CC=CC=C7C(=N6)N=C8C9=CC=CC=C9C(=N8)N3
dihydroergotamine,dihydroergotamine,10531,LUZRJRNZXALNLM-JGRZULCMSA-N,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C
N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,9998128,HNHRWNUXTCATSG-UHFFFAOYSA-N,CC1=NC(=CC=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5
ergotamine,ergotamine,8223,XCGSFFUVFURLIX-VFGNJEKYSA-N,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
antrafenine,antrafenine,68723,NWGGKKGAFZIVBJ-UHFFFAOYSA-N,C1CN(CCN1CCOC(=O)C2=CC=CC=C2NC3=C4C=CC(=CC4=NC=C3)C(F)(F)F)C5=CC=CC(=C5)C(F)(F)F
Savinin,Savinin,5281867,CMJGAYUQSLJSCR-ULIPXBITSA-N,C1[C@@H](/C(=C\C2=CC3=C(C=C2)OCO3)/C(=O)O1)CC4=CC5=C(C=C4)OCO5
Betulinic acid,Betulinic acid,64971,QGJZLNKBHJESQX-FZFNOLFKSA-N,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O
Curcumin,Curcumin,969516,VFLDPWHFBUODDF-FCXRPNKRSA-N,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Remdesivir,Remdesivir,121304016,RWWYLEGWBNMMLJ-YSOARWBDSA-N,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4
Darunavir,Darunavir,213039,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N
ML188,ML188,46897844,JXGIYKRRPGCLFV-JOCHJYFZSA-N,CC(C)(C)C1=CC=C(C=C1)N([C@H](C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3
Nirmatrelvir,Nirmatrelvir,155903259,LIENCHBZNNMNKG-OJFNHCPVSA-N,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C
13b,13b,127041417,FEVXRLDWGLPWMY-XMMPIXPASA-N,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C3=CC=C(C=C3)OC[C@]4(CN5C=C(N=C5O4)[N+](=O)[O-])C
Phyllospadine (L₆),Phyllospadine,442868,MHPSUMPGWBYSSV-UHFFFAOYSA-N,CN1CCCC1C2=C3C(=C(C(=C2O)OC)O)C(=O)C=C(O3)C4=CC=C(C=C4)O
Panicutine,Panicutine,44566630,CKNLFSFBGRRFCB-OETVPYRWSA-N,CC(=O)O[C@H]1C[C@]2(CN([C@@H]3[C@H]4C(=O)[C@H]5C[C@H]6[C@]3(C1)[C@@H]2C(=O)C[C@]64CC5=C)C)C
Vilmorrianone,Vilmorrianone,44566629,MCKIOPXSFPCTTR-NGELOBKFSA-N,CC(=O)O[C@H]1C[C@]2(CN([C@@H]3[C@H]4C(=O)[C@H]5C[C@H]6[C@]3(C1)[C@@H]2C(=O)C(=O)[C@]64CC5=C)C)C
Denudatine,Denudatine,161515,OVXLNQAYPUEDSI-UQSSLJFWSA-N,CCN1CC2(CCCC34[C@@H]2C[C@@H]([C@H]31)[C@]56[C@H]4[C@H]([C@H](CC5)C(=C)[C@H]6O)O)C
Condelphine,Condelphine,441720,ZEBMMHUDQRRILP-WZSMAATHSA-N,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6OC(=O)C)OC)O)O)COC
Rutin,Rutin,5280805,IKGXIBQEEMLURG-NVPNHPEKSA-N,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
Boceprevir,Boceprevir,10324367,LHHCSNFAOIFYRV-DOVBMPENSA-N,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C
Nelfinavir,Nelfinavir,64143,QAGYKUNXZHXKMR-HKWSIXNMSA-N,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
Epirubicin,Epirubicin,41867,AOJJSUZBOXZQNB-VTZDEGQISA-N,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
Ginkgolide M,Ginkgolide M,71450923,KDKROYXEHCYLJQ-DDQXZYLESA-N,C[C@H]1[C@H]2[C@H]([C@@H]([C@@]34[C@]25C(=O)OC3[C@@H]([C@H](C46[C@H](C(=O)OC6O5)O)C(C)(C)C)O)O)OC1=O
Mezerein,Mezerein,24832075,DLEDLHFNQDHEOJ-UDTOXTEMSA-N,C[C@@H]1[C@H]([C@]2([C@H]3[C@H]4[C@]1([C@@H]5C=C(C(=O)[C@]5([C@@H]([C@@]6([C@H]4O6)CO)O)O)C)O[C@](O3)(O2)C7=CC=CC=C7)C(=C)C)OC(=O)/C=C/C=C/C8=CC=CC=C8
Tubocurarine,Tubocurarine,6000,JFJZZMVDLULRGK-URLMMPGGSA-O,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC
Gnidicin,Gnidicin,70691946,OTTFLYUONKAFGT-LUUDNWDQSA-N,C[C@@H]1[C@H]([C@]2([C@H]3[C@H]4[C@]1([C@@H]5C=C(C(=O)[C@]5([C@@H]([C@@]6([C@H]4O6)CO)O)O)C)O[C@](O3)(O2)C7=CC=CC=C7)C(=C)C)OC(=O)/C=C/C8=CC=CC=C8
Glycobismine A,Glycobismine A,5462453,MFWOOIANDMHWSJ-UHFFFAOYSA-N,CC(=CCC1=C2C(=C(C(=C1O)C3CC(OC4=C3C5=C(C(=C4)O)C(=O)C6=CC=CC=C6N5)(C)C)O)C(=O)C7=CC=CC=C7N2C)C
Sciadopitysin,Sciadopitysin,5281696,YCXRBCHEOFVYEN-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)OC)O)OC
