claim_id,paper_id,e_class,target_pdb,ligand_name,reported_score,rerun_score,abs_delta,within_1,within_2,status,smiles_source,box_source,box_size_assumed,vina_version
C0001,P0006,E3,6LU7,N3 inhibitor,-7.8,,,,,smiles_unresolved,uncached,span_parsed,default_25,AutoDock Vina v1.2.7
C0002,P0006,E3,6LU7,phthalocyanine,-10.7,-9.31,1.39,0,1,docked,pubchem:cid:136077039,span_parsed,default_25,AutoDock Vina v1.2.7
C0003,P0006,E3,6LU7,dihydroergotamine,-9.9,-9.473,0.427,1,1,docked,pubchem:cid:10531,span_parsed,default_25,AutoDock Vina v1.2.7
C0004,P0006,E3,6LU7,N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,-9.8,-9.67,0.13,1,1,docked,pubchem:cid:9998128,span_parsed,default_25,AutoDock Vina v1.2.7
C0005,P0006,E3,6LU7,ergotamine,-9.7,-10.05,0.35,1,1,docked,pubchem:cid:8223,span_parsed,default_25,AutoDock Vina v1.2.7
C0006,P0006,E3,6LU7,antrafenine,-9.4,-9.398,0.002,1,1,docked,pubchem:cid:68723,span_parsed,default_25,AutoDock Vina v1.2.7
C0007,P0009,E2,6yb7,Savinin,-8.864,,,,,needs_prepped_receptor:6yb7,pubchem:cid:5281867,span_parsed,default_25,AutoDock Vina v1.2.7
C0008,P0009,E2,6yb7,Betulinic acid,-8.644,,,,,needs_prepped_receptor:6yb7,pubchem:cid:64971,span_parsed,default_25,AutoDock Vina v1.2.7
C0009,P0009,E2,6yb7,Curcumin,-8.373,,,,,needs_prepped_receptor:6yb7,pubchem:cid:969516,span_parsed,default_25,AutoDock Vina v1.2.7
C0010,P0009,E2,6yb7,Curcumin,-8.554,,,,,needs_prepped_receptor:6yb7,pubchem:cid:969516,span_parsed,default_25,AutoDock Vina v1.2.7
C0011,P0009,E2,6yb7,Betulinic acid,-8.548,,,,,needs_prepped_receptor:6yb7,pubchem:cid:64971,span_parsed,default_25,AutoDock Vina v1.2.7
C0012,P0009,E2,6yb7,Savinin,-8.518,,,,,needs_prepped_receptor:6yb7,pubchem:cid:5281867,span_parsed,default_25,AutoDock Vina v1.2.7
C0013,P0009,E2,6yb7,N3,-8.636,,,,,smiles_unresolved,uncached,span_parsed,default_25,AutoDock Vina v1.2.7
C0014,P0009,E2,6yb7,Remdesivir,-8.894,,,,,needs_prepped_receptor:6yb7,pubchem:cid:121304016,span_parsed,default_25,AutoDock Vina v1.2.7
C0015,P0009,E2,6yb7,Darunavir,-8.399,,,,,needs_prepped_receptor:6yb7,pubchem:cid:213039,span_parsed,default_25,AutoDock Vina v1.2.7
C0016,P0009,E2,6yb7,ML188,-8.883,,,,,needs_prepped_receptor:6yb7,pubchem:cid:46897844,span_parsed,default_25,AutoDock Vina v1.2.7
C0017,P0009,E2,6yb7,Nirmatrelvir,-7.793,,,,,needs_prepped_receptor:6yb7,pubchem:cid:155903259,span_parsed,default_25,AutoDock Vina v1.2.7
C0018,P0009,E2,6yb7,Nirmatrelvir,-8.404,,,,,needs_prepped_receptor:6yb7,pubchem:cid:155903259,span_parsed,default_25,AutoDock Vina v1.2.7
C0064,P0047,E2,5R7Y,Panicutine,-7.4,-0.333,7.067,0,0,docked,pubchem:cid:44566630,span_parsed,,AutoDock Vina v1.2.7
C0065,P0047,E2,5R7Y,Vilmorrianone,-7.0,-0.206,6.794,0,0,docked,pubchem:cid:44566629,span_parsed,,AutoDock Vina v1.2.7
C0066,P0047,E2,5R7Y,Denudatine,-6.0,-0.201,5.799,0,0,docked,pubchem:cid:161515,span_parsed,,AutoDock Vina v1.2.7
C0067,P0047,E2,5R7Y,Condelphine,-5.9,-0.199,5.701,0,0,docked,pubchem:cid:441720,span_parsed,,AutoDock Vina v1.2.7
C0078,P0014,E2,6LU7,Ginkgolide M,-11.2,-7.129,4.071,0,0,docked,pubchem:cid:71450923,span_parsed,default_25,AutoDock Vina v1.2.7
C0079,P0014,E2,6LU7,Mezerein,-11.0,-7.159,3.841,0,0,docked,pubchem:cid:24832075,span_parsed,default_25,AutoDock Vina v1.2.7
C0080,P0014,E2,6LU7,Tubocurarine,-10.9,-6.074,4.826,0,0,docked,pubchem:cid:6000,span_parsed,default_25,AutoDock Vina v1.2.7
C0081,P0014,E2,6LU7,Gnidicin,-10.4,-7.517,2.883,0,0,docked,pubchem:cid:70691946,span_parsed,default_25,AutoDock Vina v1.2.7
C0082,P0014,E2,6LU7,Glycobismine A,-10.4,-9.042,1.358,0,1,docked,pubchem:cid:5462453,span_parsed,default_25,AutoDock Vina v1.2.7
C0083,P0014,E2,6LU7,Sciadopitysin,-10.2,-9.046,1.154,0,1,docked,pubchem:cid:5281696,span_parsed,default_25,AutoDock Vina v1.2.7
C0084,P0014,E2,6LU7,Gnididin,-9.2,-6.922,2.278,0,0,docked,pubchem:cid:118701513,span_parsed,default_25,AutoDock Vina v1.2.7
C0085,P0014,E2,6LU7,Emetine,-8.7,-7.825,0.875,1,1,docked,pubchem:cid:10219,span_parsed,default_25,AutoDock Vina v1.2.7
C0086,P0014,E2,6LU7,Vitexin,-8.3,-7.863,0.437,1,1,docked,pubchem:cid:5280441,span_parsed,default_25,AutoDock Vina v1.2.7
C0087,P0014,E2,6LU7,Calophyllolide,-8.3,-7.982,0.318,1,1,docked,pubchem:cid:5281392,span_parsed,default_25,AutoDock Vina v1.2.7
C0088,P0014,E2,6LU7,"6-(3,3-Dimethylallyl)galangin",-7.9,-7.312,0.588,1,1,docked,pubchem:cid:5281945,span_parsed,default_25,AutoDock Vina v1.2.7
C0089,P0014,E2,6LU7,Nelfinavir,-9.1,-7.366,1.734,0,1,docked,pubchem:cid:64143,span_parsed,default_25,AutoDock Vina v1.2.7
