claim_id,paper_id,pdb,ligand,n_seeds,scores,mean,range,std
C0002,P0006,6LU7,phthalocyanine,3,-9.31;-9.23;-9.33,-9.29,0.1,0.043
C0003,P0006,6LU7,dihydroergotamine,3,-10.01;-10.02;-10.03,-10.02,0.02,0.008
C0004,P0006,6LU7,N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,3,-9.70;-9.71;-9.71,-9.71,0.01,0.005
C0005,P0006,6LU7,ergotamine,3,-9.49;-9.51;-9.53,-9.51,0.04,0.015
C0006,P0006,6LU7,antrafenine,3,-9.27;-9.26;-8.89,-9.14,0.38,0.175
C0064,P0047,5R7Y,Panicutine,3,-0.41;-0.11;-0.26,-0.26,0.3,0.122
C0065,P0047,5R7Y,Vilmorrianone,3,-0.20;-0.26;-0.10,-0.19,0.16,0.067
C0066,P0047,5R7Y,Denudatine,3,-0.26;-0.23;-0.25,-0.25,0.04,0.015
C0067,P0047,5R7Y,Condelphine,3,-0.18;-0.27;-0.11,-0.19,0.17,0.068
C0078,P0014,6LU7,Ginkgolide M,3,-7.15;-7.15;-7.16,-7.15,0.01,0.004
C0079,P0014,6LU7,Mezerein,3,-6.96;-6.92;-6.94,-6.94,0.04,0.018
C0080,P0014,6LU7,Tubocurarine,3,-5.46;-5.52;-5.49,-5.49,0.06,0.024
C0081,P0014,6LU7,Gnidicin,3,-7.43;-7.29;-7.28,-7.33,0.16,0.072
C0082,P0014,6LU7,Glycobismine A,3,-9.58;-9.59;-9.60,-9.59,0.02,0.009
C0083,P0014,6LU7,Sciadopitysin,3,-9.09;-9.10;-9.10,-9.09,0.02,0.007
